match_date,season,competition_code,home_team,away_team,home_goals,away_goals,result,data_source,created_at
2000-07-28,2000,FL1,Paris SG,Strasbourg,3,1,H,kaggle,2025-12-23 02:24:46.775164
2000-07-29,2000,FL1,Lille,Monaco,1,1,D,kaggle,2025-12-23 02:24:46.775164
2000-07-29,2000,FL1,Lyon,Rennes,2,2,D,kaggle,2025-12-23 02:24:46.775164
2000-08-05,2000,FL1,Metz,Auxerre,1,2,A,kaggle,2025-12-23 02:24:46.775164
2000-08-05,2000,FL1,Rennes,Paris SG,1,1,D,kaggle,2025-12-23 02:24:46.775164
2000-08-05,2000,FL1,Strasbourg,Lille,0,4,A,kaggle,2025-12-23 02:24:46.775164
2000-08-12,2000,BL1,Freiburg,Stuttgart,4,0,H,kaggle,2025-12-23 02:24:46.775164
2000-08-12,2000,BL1,Leverkusen,Wolfsburg,2,0,H,kaggle,2025-12-23 02:24:46.775164
2000-08-12,2000,FL1,Lille,Rennes,1,0,H,kaggle,2025-12-23 02:24:46.775164
2000-08-12,2000,FL1,Lyon,Metz,0,0,D,kaggle,2025-12-23 02:24:46.775164
2000-08-12,2000,FL1,Strasbourg,Monaco,1,3,A,kaggle,2025-12-23 02:24:46.775164
2000-08-19,2000,PL,Chelsea,West Ham,4,2,H,kaggle,2025-12-23 02:24:46.775164
2000-08-19,2000,PL,Leeds,Everton,2,0,H,kaggle,2025-12-23 02:24:46.775164
2000-08-19,2000,PL,Sunderland,Arsenal,1,0,H,kaggle,2025-12-23 02:24:46.775164
2000-08-19,2000,FL1,Metz,Paris SG,1,0,H,kaggle,2025-12-23 02:24:46.775164
2000-08-19,2000,FL1,Rennes,Strasbourg,3,0,H,kaggle,2025-12-23 02:24:46.775164
2000-08-19,2000,BL1,Stuttgart,Leverkusen,4,1,H,kaggle,2025-12-23 02:24:46.775164
2000-08-20,2000,BL1,FC Koln,Ein Frankfurt,4,1,H,kaggle,2025-12-23 02:24:46.775164
2000-08-20,2000,PL,Man United,Newcastle,2,0,H,kaggle,2025-12-23 02:24:46.775164
2000-08-21,2000,PL,Arsenal,Liverpool,2,0,H,kaggle,2025-12-23 02:24:46.775164
