player_id,player_name,team_name,competition_code,position,minutes,goals,assists,form,influence,creativity,threat,status,source,updated_at
34,Gauci,Aston Villa,PL,GK,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
35,Marschall,Aston Villa,PL,GK,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
36,Cash,Aston Villa,PL,DEF,1502,3,1,4.2,362.2,233.3,111.0,a,fpl,2025-12-26 00:48:18.311433
37,Digne,Aston Villa,PL,DEF,1002,0,3,2.0,190.0,223.4,78.0,a,fpl,2025-12-26 00:48:18.311433
38,Konsa,Aston Villa,PL,DEF,1415,0,0,2.8,274.6,54.8,60.0,a,fpl,2025-12-26 00:48:18.311433
39,Maatsen,Aston Villa,PL,DEF,521,0,0,1.2,119.8,133.9,73.0,a,fpl,2025-12-26 00:48:18.311433
40,Mings,Aston Villa,PL,DEF,497,0,0,0.0,120.2,44.6,25.0,i,fpl,2025-12-26 00:48:18.311433
41,Pau,Aston Villa,PL,DEF,952,0,1,2.0,207.6,17.3,26.0,i,fpl,2025-12-26 00:48:18.311433
42,A.García,Aston Villa,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
43,Alex Moreno,Aston Villa,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
44,Bogarde,Aston Villa,PL,DEF,320,0,0,0.6,41.2,33.6,6.0,a,fpl,2025-12-26 00:48:18.311433
45,Sousa,Aston Villa,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
46,Yasin,Aston Villa,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
47,Rogers,Aston Villa,PL,MID,1516,7,3,8.2,412.4,258.1,367.0,a,fpl,2025-12-26 00:48:18.311433
48,Tielemans,Aston Villa,PL,MID,781,0,2,2.8,168.4,211.4,112.0,a,fpl,2025-12-26 00:48:18.311433
49,Bailey,Aston Villa,PL,MID,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
50,Buendía,Aston Villa,PL,MID,561,4,2,2.0,230.6,160.9,158.0,a,fpl,2025-12-26 00:48:18.311433
51,Iling Jr,Aston Villa,PL,MID,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
53,Malen,Aston Villa,PL,MID,529,4,1,2.4,179.2,98.6,237.0,a,fpl,2025-12-26 00:48:18.311433
54,McGinn,Aston Villa,PL,MID,1317,1,2,3.8,217.8,348.3,112.0,a,fpl,2025-12-26 00:48:18.311433
55,Barkley,Aston Villa,PL,MID,114,1,1,0.2,51.8,33.7,55.0,i,fpl,2025-12-26 00:48:18.311433
56,Barrenechea,Aston Villa,PL,MID,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
57,Dobbin,Aston Villa,PL,MID,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
58,Kamara,Aston Villa,PL,MID,1157,1,3,5.2,273.8,179.9,49.0,a,fpl,2025-12-26 00:48:18.311433
59,Onana,Aston Villa,PL,MID,810,2,0,4.0,232.2,57.9,65.0,a,fpl,2025-12-26 00:48:18.311433
60,Broggio,Aston Villa,PL,MID,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
61,Dendoncker,Aston Villa,PL,MID,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
62,Jimoh-Aloba,Aston Villa,PL,MID,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
63,Young,Aston Villa,PL,MID,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
64,Watkins,Aston Villa,PL,FWD,1267,3,2,5.2,179.8,154.5,398.0,a,fpl,2025-12-26 00:48:18.311433
65,Redmond,Aston Villa,PL,FWD,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
389,Elliott,Aston Villa,PL,MID,97,0,0,0.0,8.6,17.8,18.0,d,fpl,2025-12-26 00:48:18.311433
456,Sancho,Aston Villa,PL,MID,126,0,0,0.4,23.4,65.9,72.0,a,fpl,2025-12-26 00:48:18.311433
677,Guessand,Aston Villa,PL,MID,511,0,2,1.8,75.4,42.4,109.0,n,fpl,2025-12-26 00:48:18.311433
688,Wright,Aston Villa,PL,GK,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
701,Rowe,Aston Villa,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
702,Burrowes,Aston Villa,PL,MID,16,0,0,0.0,0.0,0.3,0.0,a,fpl,2025-12-26 00:48:18.311433
703,Proctor,Aston Villa,PL,GK,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
710,Patterson,Aston Villa,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
719,Lindelöf,Aston Villa,PL,DEF,205,0,1,1.4,47.8,12.9,2.0,a,fpl,2025-12-26 00:48:18.311433
754,George Hemmings,Aston Villa,PL,MID,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
757,Hollingshead,Aston Villa,PL,GK,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
768,Leon Routh,Aston Villa,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
183,Weiss,Burnley,PL,GK,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
184,Green,Burnley,PL,GK,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
185,Hladký,Burnley,PL,GK,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
186,Roberts,Burnley,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,i,fpl,2025-12-26 00:48:18.311433
187,Walker,Burnley,PL,DEF,1426,0,1,1.4,248.4,75.5,18.0,a,fpl,2025-12-26 00:48:18.311433
188,Delcroix,Burnley,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
189,Dodgson,Burnley,PL,DEF,0,0,0,0.0,0.0,0.0,0.0,u,fpl,2025-12-26 00:48:18.311433
190,Ekdal,Burnley,PL,DEF,893,0,0,2.0,201.6,29.5,69.0,a,fpl,2025-12-26 00:48:18.311433
191,Estève,Burnley,PL,DEF,1432,0,0,2.2,340.6,67.2,60.0,d,fpl,2025-12-26 00:48:18.311433
192,Hartman,Burnley,PL,DEF,1337,0,5,1.8,305.4,228.9,57.0,a,fpl,2025-12-26 00:48:18.311433
193,Humphreys,Burnley,PL,DEF,2,0,0,0.0,0.2,0.0,0.0,a,fpl,2025-12-26 00:48:18.311433
