team_name,competition_code,season,avg_form,total_minutes,attacking_index,creativity_index,threat_index,injury_count,source,created_at
Chelsea,PL,2024,1.2944444444444445,16605,108.81666666666666,80.88055555555556,71.69444444444444,10,fpl,2025-12-25 18:50:38.406304
Wolves,PL,2024,0.6974358974358974,16675,81.15897435897436,49.50769230769231,41.17948717948718,16,fpl,2025-12-25 18:50:38.406304
Bournemouth,PL,2024,1.0390243902439025,16774,95.53170731707317,60.77317073170732,57.48780487804878,16,fpl,2025-12-25 18:50:38.406304
Burnley,PL,2024,0.824390243902439,16707,87.12682926829268,41.01219512195122,37.1219512195122,16,fpl,2025-12-25 18:50:38.406304
Everton,PL,2024,1.28,16706,100.13142857142857,61.80285714285714,55.34285714285714,11,fpl,2025-12-25 18:50:38.406304
West Ham,PL,2024,0.9702702702702702,16736,98.44864864864864,54.62432432432433,48.16216216216216,10,fpl,2025-12-25 18:50:38.406304
Aston Villa,PL,2024,1.1866666666666668,16746,84.01777777777778,53.03333333333333,47.4,16,fpl,2025-12-25 18:50:38.406304
Leeds,PL,2024,1.4705882352941175,16770,105.71764705882353,68.03823529411764,66.6470588235294,11,fpl,2025-12-25 18:50:38.406304
Fulham,PL,2024,1.74,16761,123.66,78.3,65.6,10,fpl,2025-12-25 18:50:38.406304
Brentford,PL,2024,1.3210526315789475,16774,97.56842105263158,49.26578947368421,57.473684210526315,10,fpl,2025-12-25 18:50:38.406304
Liverpool,PL,2024,1.5135135135135136,16773,109.37837837837837,87.85945945945946,67.67567567567568,15,fpl,2025-12-25 18:50:38.406304
Crystal Palace,PL,2024,1.1052631578947367,16704,96.28421052631579,51.93421052631579,57.31578947368421,16,fpl,2025-12-25 18:50:38.406304
Arsenal,PL,2024,1.3222222222222222,16857,106.57222222222222,78.33333333333333,78.86111111111111,13,fpl,2025-12-25 18:50:38.406304
Sunderland,PL,2024,1.0,16708,80.15555555555555,41.07333333333333,36.08888888888889,17,fpl,2025-12-25 18:50:38.406304
